round,date,main_1,main_2,main_3,main_4,main_5,main_6,first_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,birthday_count,relevant_sales_amount_audit_only
193,20060812,6,14,18,26,36,39,3,43788477000,1000,43788477,4,43788477000
194,20060819,15,20,23,26,39,44,4,44511515000,1000,44511515,4,44511515000
195,20060826,7,10,19,22,35,40,11,44374725000,1000,44374725,4,44374725000
196,20060902,35,36,37,41,44,45,15,45773496000,1000,45773496,0,45773496000
197,20060909,7,12,16,34,42,45,6,45993306000,1000,45993306,3,45993306000
198,20060916,12,19,20,25,41,45,6,45614021000,1000,45614021,4,45614021000
199,20060923,14,21,22,25,30,36,2,45021068000,1000,45021068,5,45021068000
200,20060930,5,6,13,14,17,20,8,46640423000,1000,46640423,6,46640423000
201,20061007,3,11,24,38,39,44,1,42254768000,1000,42254768,3,42254768000
202,20061014,12,14,27,33,39,44,6,48304034000,1000,48304034,3,48304034000
203,20061021,1,3,11,24,30,32,5,47033359000,1000,47033359,5,47033359000
204,20061028,3,12,14,35,40,45,8,46077750000,1000,46077750,3,46077750000
205,20061104,1,3,21,29,35,37,6,46330516000,1000,46330516,4,46330516000
206,20061111,1,2,3,15,20,25,5,44326979000,1000,44326979,6,44326979000
207,20061118,3,11,14,31,32,37,5,45282336000,1000,45282336,4,45282336000
208,20061125,14,25,31,34,40,44,6,45516378000,1000,45516378,3,45516378000
209,20061202,2,7,18,20,24,33,6,43753377000,1000,43753377,5,43753377000
210,20061209,10,19,22,23,25,37,2,44757963000,1000,44757963,5,44757963000
211,20061216,12,13,17,20,33,41,10,45332675000,1000,45332675,4,45332675000
212,20061223,11,12,18,21,31,38,4,46139120000,1000,46139120,5,46139120000
213,20061230,2,3,4,5,20,24,8,48745094000,1000,48745094,6,48745094000
214,20070106,5,7,20,25,28,37,8,49195740000,1000,49195740,5,49195740000
215,20070113,2,3,7,15,43,44,7,47675761000,1000,47675761,4,47675761000
216,20070120,7,16,17,33,36,40,13,48342018000,1000,48342018,3,48342018000
217,20070127,16,20,27,33,35,39,7,48260644000,1000,48260644,3,48260644000
218,20070203,1,8,14,18,29,44,4,47018314000,1000,47018314,5,47018314000
219,20070210,4,11,20,26,35,37,9,46903745000,1000,46903745,4,46903745000
220,20070217,5,11,19,21,34,43,6,50383399000,1000,50383399,4,50383399000
221,20070224,2,20,33,35,37,40,6,47674135000,1000,47674135,2,47674135000
222,20070303,5,7,28,29,39,43,5,47735197000,1000,47735197,4,47735197000
223,20070310,1,3,18,20,26,27,7,46036874000,1000,46036874,6,46036874000
224,20070317,4,19,26,27,30,42,6,46435109000,1000,46435109,5,46435109000
225,20070324,5,11,13,19,31,36,6,46352016000,1000,46352016,5,46352016000
226,20070331,2,6,8,14,21,22,6,45145643000,1000,45145643,6,45145643000
227,20070407,4,5,15,16,22,42,2,44444776000,1000,44444776,5,44444776000
228,20070414,17,25,35,36,39,44,9,44764100000,1000,44764100,2,44764100000
229,20070421,4,5,9,11,23,38,7,44762989000,1000,44762989,5,44762989000
230,20070428,5,11,14,29,32,33,8,44191351000,1000,44191351,4,44191351000
231,20070505,5,10,19,31,44,45,9,42355627000,1000,42355627,4,42355627000
232,20070512,8,9,10,12,24,44,9,43564632000,1000,43564632,5,43564632000
233,20070519,4,6,13,17,28,40,10,43516805000,1000,43516805,5,43516805000
234,20070526,13,21,22,24,26,37,4,42814085000,1000,42814085,5,42814085000
235,20070602,21,22,26,27,31,37,3,43347391000,1000,43347391,5,43347391000
236,20070609,1,4,8,13,37,39,2,42941871000,1000,42941871,4,42941871000
