round,date,k1,k2,k3,k4,k5,sales,price,sold_lines,source_file,source_sha256
151,20051022,4,45,1491,68250,1113528,47357067000,1000,47357067,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
152,20051029,5,30,1184,60282,1021147,48180334000,1000,48180334,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
153,20051105,4,52,1446,71562,1137072,47777735000,1000,47777735,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
154,20051112,4,32,1189,60181,1020067,48022386000,1000,48022386,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
155,20051119,9,37,1287,62882,1035003,46140202000,1000,46140202,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
156,20051126,8,30,1230,59506,998192,47344584000,1000,47344584,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
157,20051203,2,28,1155,61650,1028734,46853365000,1000,46853365,api-0109.json,459b38bf36367956b6135af91ee5c852f3b6f10a5fdd4a78860f9734677e00a5
158,20051210,10,45,1516,67910,1071741,46368888000,1000,46368888,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
159,20051217,6,24,1071,54933,920378,44311926000,1000,44311926,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
160,20051224,2,32,1079,58680,1022787,46833239000,1000,46833239,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
161,20051231,7,63,1381,66233,1116934,53096453000,1000,53096453,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
162,20060107,5,33,1172,61205,1057899,49050086000,1000,49050086,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
163,20060114,7,47,1390,66604,1099200,49018952000,1000,49018952,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
164,20060121,3,39,1626,74835,1250274,53052119000,1000,53052119,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
165,20060128,2,40,1535,78820,1297194,58088118000,1000,58088118,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
166,20060204,11,28,1507,70751,1140980,52157466000,1000,52157466,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
167,20060211,5,36,1313,64208,1122401,52744392000,1000,52744392,api-0108.json,e1e859b8fef39c5e8bbff5a9f67da140e5e77ed9ee194d9db7afd8f87f5eff40
168,20060218,5,54,1544,74504,1233043,51496212000,1000,51496212,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
169,20060225,5,31,1171,62705,1069471,52076183000,1000,52076183,api-0107.json,d8d6005355e102cac58b487ab95c1b57b39713f2431febf0bbb4bc722b723041
